batch,wafer,x,y,defect_type
LOT-SAMPLE,W01,-150,-150,GOOD
LOT-SAMPLE,W01,-140,-150,GOOD
LOT-SAMPLE,W01,-130,-140,GOOD
LOT-SAMPLE,W01,-120,-140,PARTICLE
LOT-SAMPLE,W01,-110,-130,GOOD
LOT-SAMPLE,W01,-100,-130,GOOD
LOT-SAMPLE,W01,-90,-120,GOOD
LOT-SAMPLE,W01,-80,-120,GOOD
LOT-SAMPLE,W01,-70,-110,GOOD
LOT-SAMPLE,W01,-60,-110,GOOD
LOT-SAMPLE,W01,-50,-100,GOOD
LOT-SAMPLE,W01,-40,-100,GOOD
LOT-SAMPLE,W01,-30,-90,GOOD
LOT-SAMPLE,W01,-20,-90,GOOD
LOT-SAMPLE,W01,-10,-80,GOOD
LOT-SAMPLE,W01,0,-80,GOOD
LOT-SAMPLE,W01,10,-80,GOOD
LOT-SAMPLE,W01,20,-90,GOOD
LOT-SAMPLE,W01,30,-90,GOOD
LOT-SAMPLE,W01,40,-100,GOOD
LOT-SAMPLE,W01,50,-100,GOOD
LOT-SAMPLE,W01,60,-110,GOOD
LOT-SAMPLE,W01,70,-110,GOOD
LOT-SAMPLE,W01,80,-120,GOOD
LOT-SAMPLE,W01,90,-120,GOOD
LOT-SAMPLE,W01,100,-130,GOOD
LOT-SAMPLE,W01,110,-130,GOOD
LOT-SAMPLE,W01,120,-140,GOOD
LOT-SAMPLE,W01,-150,-140,GOOD
LOT-SAMPLE,W01,-140,-130,GOOD
LOT-SAMPLE,W01,-130,-130,PARTICLE
LOT-SAMPLE,W01,-120,-120,GOOD
LOT-SAMPLE,W01,-20,20,MISSING_DIE
LOT-SAMPLE,W01,-10,10,MISSING_DIE
LOT-SAMPLE,W01,0,0,MISSING_DIE
LOT-SAMPLE,W01,10,10,MISSING_DIE
LOT-SAMPLE,W01,20,20,MISSING_DIE
LOT-SAMPLE,W01,-10,20,MISSING_DIE
LOT-SAMPLE,W01,0,10,MISSING_DIE
LOT-SAMPLE,W01,10,0,MISSING_DIE
LOT-SAMPLE,W01,20,10,MISSING_DIE
LOT-SAMPLE,W01,30,20,MISSING_DIE
LOT-SAMPLE,W01,-20,10,MISSING_DIE
LOT-SAMPLE,W01,-10,0,PARTICLE
LOT-SAMPLE,W01,0,-10,MISSING_DIE
LOT-SAMPLE,W01,10,-10,MISSING_DIE
LOT-SAMPLE,W01,120,120,ETCH_DEFECT
LOT-SAMPLE,W01,130,110,ETCH_DEFECT
LOT-SAMPLE,W01,110,130,ETCH_DEFECT
LOT-SAMPLE,W01,130,130,ETCH_DEFECT
